nombre,cargo,salario,turno,ciudad
Roberto Díaz,Gerente,1993.06,Mañana,Puno
Sofía Díaz,Almacén,3014.33,,Ica
Ana García,Farmacéutico,2600.89,Tarde,Arequipa
Ana García,Cajero,1281.27,Noche,Cajamarca
Roberto Díaz,Almacén,2029.41,,Piura
Pedro Martínez,Auxiliar,3014.71,,Huancayo
María López,Cajero,1540.93,Noche,Cusco
Roberto Díaz,Cajero,2770.27,Mañana,Cajamarca
Isabel Ortega,Auxiliar,3089.05,Noche,Ica
Isabel Ortega,Farmacéutico,2140.27,Tarde,Trujillo
Isabel Ortega,Almacén,,,Arequipa
Miguel Fernández,Farmacéutico,3497.26,Tarde,Cusco
Ana García,Farmacéutico,,Tarde,Ica
Lucía Romero,Cajero,1699.86,Noche,Lima
Fernando Morales,Farmacéutico,3051.33,Tarde,Lima
Elena Vargas,Farmacéutico,2493.44,Noche,Huancayo
Lucía Romero,Gerente,951.26,Noche,Ica
Carmen Torres,,2358.97,,Trujillo
Sofía Díaz,Cajero,1813.15,Mañana,Chiclayo
María López,Almacén,2912.33,Tarde,Piura
Laura Hernández,Cajero,1441.63,Tarde,Piura
María López,Cajero,900.97,Mañana,Lima
Lucía Romero,Gerente,1216.01,Tarde,Puno
Sofía Díaz,Auxiliar,3153.86,Noche,Trujillo
Carlos Ruiz,Cajero,2726.93,Mañana,Lima
Elena Vargas,Almacén,1699.88,Mañana,Piura
Ana García,Almacén,2524.9,Mañana,Piura
Carmen Torres,Auxiliar,2612.03,Mañana,Lima
Roberto Díaz,Almacén,1357.76,Tarde,Piura
Roberto Díaz,Farmacéutico,1640.72,Noche,Trujillo
Ana García,Gerente,936.23,Mañana,Trujillo
Miguel Fernández,Almacén,2499.57,Tarde,Piura
Pedro Martínez,Farmacéutico,2611.35,Tarde,Arequipa
Fernando Morales,,1638.06,Tarde,Cusco
María López,Almacén,,Noche,Ica
Jorge Sánchez,,2083.4,Tarde,Piura
Lucía Romero,Auxiliar,,Noche,Ica
Carmen Torres,Cajero,2238.41,Tarde,Cusco
Carmen Torres,Farmacéutico,1836.3,Noche,Chiclayo
Roberto Díaz,Auxiliar,1437.62,Mañana,Cajamarca
Fernando Morales,Gerente,2409.4,Mañana,Trujillo
Sofía Díaz,,1093.61,Tarde,Lima
Luis Pérez,Farmacéutico,3195.61,Noche,Trujillo
Elena Vargas,Farmacéutico,1587.06,Tarde,Ica
Sofía Díaz,Almacén,2634.81,Tarde,Ica
Luis Pérez,,3463.34,Mañana,Lima
Pedro Martínez,Almacén,802.28,,Piura
Fernando Morales,Cajero,2696.0,Tarde,Chiclayo
Laura Hernández,Gerente,2588.72,Mañana,Ica
Fernando Morales,Gerente,3493.13,,Lima
María López,Gerente,,Mañana,Chiclayo
Fernando Morales,Gerente,2677.55,Noche,Puno
Laura Hernández,Almacén,1838.73,Tarde,Cajamarca
Jorge Sánchez,Farmacéutico,1526.98,Noche,Lima
Roberto Díaz,Gerente,1105.54,,Puno
Fernando Morales,Auxiliar,1011.23,Mañana,Arequipa
Elena Vargas,Almacén,,Tarde,Lima
Jorge Sánchez,Gerente,2066.93,Tarde,Piura
Sofía Díaz,,3291.73,Noche,Piura
Ana García,Gerente,2346.72,Tarde,Cajamarca
Ana García,Auxiliar,,Tarde,Cajamarca
Sofía Díaz,Auxiliar,,Mañana,Trujillo
Elena Vargas,Gerente,1273.58,Mañana,Puno
Fernando Morales,Cajero,,Mañana,Chiclayo
Lucía Romero,Gerente,1988.5,Mañana,Ica
Ana García,Auxiliar,,Tarde,Huancayo
Miguel Fernández,Almacén,2645.48,,Chiclayo
Ana García,Auxiliar,2011.82,Noche,Lima
Luis Pérez,Almacén,3381.7,Noche,Ica
Sofía Díaz,Auxiliar,1489.43,Tarde,Cusco
Miguel Fernández,Almacén,2203.87,Mañana,Lima
Elena Vargas,Cajero,,Mañana,Ica
Carlos Ruiz,Auxiliar,891.91,Mañana,Cusco
Roberto Díaz,Cajero,1123.94,Mañana,Cajamarca
Lucía Romero,Farmacéutico,2678.26,Tarde,Arequipa
Elena Vargas,Gerente,1546.24,Noche,Ica
Sofía Díaz,Farmacéutico,,Tarde,Lima
Sofía Díaz,Auxiliar,987.38,Mañana,Trujillo
Elena Vargas,Gerente,2259.71,Noche,Huancayo
Miguel Fernández,Auxiliar,996.88,Tarde,Lima
Isabel Ortega,Gerente,2528.91,Noche,Trujillo
Miguel Fernández,Auxiliar,2351.53,Tarde,Chiclayo
Fernando Morales,Cajero,808.93,,Puno
Isabel Ortega,Auxiliar,,,Puno
Fernando Morales,,2041.03,Noche,Puno
Ana García,Gerente,1606.95,Mañana,Ica
Jorge Sánchez,Cajero,,Mañana,Cajamarca
Carlos Ruiz,Gerente,2940.4,Tarde,Huancayo
Ana García,Cajero,1711.84,,Puno
Jorge Sánchez,Almacén,2364.23,Mañana,Huancayo
Elena Vargas,Cajero,,Noche,Lima
María López,Cajero,,Noche,Cajamarca
Luis Pérez,Cajero,2406.44,Mañana,Chiclayo
Pedro Martínez,Gerente,3434.8,Mañana,Cusco
Lucía Romero,Cajero,,Mañana,Trujillo
Miguel Fernández,Auxiliar,1984.39,,Cajamarca
Laura Hernández,,,Mañana,Cajamarca
Isabel Ortega,Auxiliar,2980.01,,Trujillo
Elena Vargas,Auxiliar,1912.48,Noche,Cajamarca
María López,Gerente,1037.66,Tarde,Lima
